Date,Number of Sessions,Total Time (ms)
2024-07-24,216,19664037
2024-07-25,73,19765750
2024-07-26,43,12429084
2024-07-27,30,12292537
2024-07-30,26,8704591
2024-07-31,3,2826994
2024-08-01,48,15617378
2024-08-02,34,5338003
2024-08-03,25,12964296
2024-08-04,15,8399898
2024-08-05,14,6169833
2024-08-06,3,350727
2024-08-07,4,1718380
2024-08-08,9,939298
2024-08-09,14,4114998
2024-08-10,14,17538231
2024-08-15,17,10565843
2024-08-16,7,2488045
2024-08-17,8,5502607
2024-08-18,22,16991747
2024-08-19,4,9583218
2024-08-21,12,1463615
2024-08-22,2,179589
2024-08-24,4,7251346
2024-08-25,12,13118539
2024-08-28,9,5488306
2024-08-30,11,10787039
2024-08-31,2,210372
2024-09-01,49,26828896
2024-09-02,9,5409626
2024-09-03,6,3477232
2024-09-04,1198,1330903115
2024-09-14,79,45398469
2024-09-15,107,50559423
2024-07-18,25,11838774
2024-07-19,19,6559278
2024-07-21,76,29406325
2024-06-27,57,18705580
2024-06-18,26,10504585
2024-06-19,44,8659592
2024-06-20,469,66601509
2024-06-21,465,134039426
2024-06-22,35,3422161
2024-06-23,29,2330259
2024-06-26,2,1171580
2024-06-28,30,14851754
2024-06-30,10,5581181
2024-07-01,9,1568037
2024-07-09,27,15302464
2024-09-05,11,2572531
2024-07-14,63,33739305
2024-09-18,76,0
2024-07-17,10,2159762
2024-09-16,23,15622144
2024-07-29,63,27330206
2024-07-07,28,14169106
2024-09-07,16,3102831
2024-09-08,8,9021587
2024-09-09,13,5056731
2024-07-20,83,23853767
2024-06-25,19,537613
2024-06-24,60,2303466
2024-07-22,92,17238260
2024-09-12,13,6948670
2024-06-29,14,3140452
2024-07-04,47,14331163
2024-07-06,2,828581
2024-07-08,15,1558075
2024-07-10,25,6898464
2024-07-11,381,51351639
2024-07-12,89,22702963
2024-07-15,21,7983897
2024-07-16,18,2343656
2024-07-23,152,23694509
2024-08-29,8,2480477
2024-09-06,22,14593866
2024-09-11,47,14624228
2024-09-10,9,12187773
2024-07-13,49,16109643
2024-06-17,3,51856
2024-07-03,1,85236
2024-09-17,1,0
2024-07-28,35,17225935
2024-08-14,1,123330
2024-08-23,1,1072768
2024-08-12,5,2341516
2024-08-27,1,276137
2024-08-13,2,1126650
